16.05 20:08:30> Started trip loader task
16.05 20:09:35> Started trip loader task
16.05 20:11:14> Started trip loader task
16.05 20:12:51> Started trip loader task
16.05 20:14:03> Started trip loader task
16.05 20:14:04> 1: [461849] ПИЗА | 7д | 2348 км | 5181р | R1398
16.05 20:14:04> 2: [460556] РИМИНИ | 7д | 2196 км | 9254р | R1310
16.05 20:14:04> 3: [455192] TENERIFE | 7д | 5233 км | 12768р | R1118
16.05 20:14:04> 4: [459422] АВИНЬОН | 4д | 2659 км | 29477р | R1099
16.05 20:14:04> 5: [474084] ПАТТАЙЯ | 8д | 7196 км | 19806р | R1070
16.05 20:14:04> 6: [472127] ПАФОС | 7д | 2373 км | 18032р | R903
16.05 20:14:04> 7: [459496] СТРАСБУРГ | 7д | 2167 км | 9685р | R889
16.05 20:14:04> 8: [454469] ТУЛУЗА | 6д | 2890 км | 12448р | R861
16.05 20:14:04> 9: [448834] РЕЙКЬЯВИК | 3д | 3306 км | 17748р | R846
16.05 20:14:04> 10: [447665] ПАЛЕРМО | 5д | 2670 км | 14096р | R836
16.05 20:14:04> 11: [447140] МАРРАКЕШ | 8д | 4427 км | 15222р | R829
16.05 20:14:04> 12: [446962] ФЛОРЕНЦИЯ | 3д | 2293 км | 9132р | R826
16.05 20:14:04> 13: [455080] CASABLANCA | 7д | 4235 км | 13302р | R804
16.05 20:14:04> 14: [469888] НИЦЦА | 3д | 2537 км | 9934р | R795
16.05 20:14:04> 15: [448802] ВАРНА | 7д | 1558 км | 8908р | R777
16.05 20:14:04> 16: [450209] ПУЛА | 3д | 2054 км | 13118р | R765
16.05 20:14:04> 17: [455716] ABU DHABI | 8д | 3738 км | 18475р | R746
16.05 20:14:04> 18: [455185] MULHOUSE | 3д | 2244 км | 12133р | R737
16.05 20:14:04> 19: [465847] ЭДИНБУРГ | 8д | 2510 км | 12393р | R733
16.05 20:14:04> 20: [459859] МИЛАН | 7д | 2286 км | 7189р | R715
16.05 20:14:04> 21: [455479] FARO | 14д | 3968 км | 19163р | R715
16.05 20:14:04> 22: [459628] ПАЛЬМА | 15д | 3123 км | 13900р | R712
16.05 20:14:04> 23: [448956] ТИВАТ | 17д | 2011 км | 7901р | R708
16.05 20:14:04> 24: [448749] БОРДО | 14д | 2925 км | 16083р | R705
16.05 20:14:04> 25: [455536] HERAKLION | 11д | 2460 км | 13952р | R701
16.05 20:14:04> 26: [454911] BAHRAIN | 14д | 3443 км | 19834р | R698
16.05 20:14:04> 27: [448467] ФУНШАЛ | 8д | 4867 км | 20693р | R695
16.05 20:14:04> 28: [470136] ПОРТУ | 8д | 3689 км | 15364р | R685
16.05 20:14:04> 29: [454823] LIVERPOOL | 5д | 2587 км | 20926р | R670
16.05 20:14:04> 30: [459022] GENEVA | 5д | 2419 км | 11000р | R663
16.05 20:14:04> 31: [459453] АНТВЕРПЕН | 20д | 2232 км | 14390р | R659
16.05 20:14:04> 32: [466139] ПНОМ ПЕНЬ | 14д | 7534 км | 24855р | R657
16.05 20:14:04> 33: [454814] EINDHOVEN | 5д | 2154 км | 14814р | R656
16.05 20:14:04> 34: [448536] АФИНЫ | 5д | 2229 км | 10036р | R656
16.05 20:14:04> 35: [454887] TUNIS | 9д | 2939 км | 17947р | R651
16.05 20:14:04> 36: [472765] БАРСЕЛОНА | 10д | 3010 км | 10173р | R645
16.05 20:14:04> 37: [448441] ГЕЛЕНДЖИК | 12д | 1244 км | 8427р | R643
16.05 20:14:04> 38: [455188] SHANNON | 21д | 2987 км | 21531р | R641
16.05 20:14:04> 39: [448152] ТУРИН | 4д | 2404 км | 12652р | R640
16.05 20:14:04> 40: [463069] ХАНОЙ | 12д | 6717 км | 25261р | R636
16.05 20:14:04> 41: [466945] АСТАНА | 21д | 2280 км | 15943р | R618
16.05 20:14:04> 42: [448186] СЕВИЛЬЯ | 9д | 3820 км | 18103р | R608
16.05 20:14:04> 43: [447044] ЛИССАБОН | 4д | 3908 км | 12020р | R608
16.05 20:14:04> 44: [446736] РИМ | 9д | 2377 км | 9137р | R606
16.05 20:14:04> 45: [447731] БРЮССЕЛЬ | 3д | 2253 км | 10195р | R605
16.05 20:14:04> 46: [447615] НЕАПОЛЬ | 7д | 2374 км | 12988р | R601
16.05 20:14:04> 47: [455741] BIRMINGHAM | 14д | 2565 км | 13681р | R597
16.05 20:14:04> 48: [461316] ЛИОН | 5д | 2528 км | 12641р | R593
16.05 20:14:04> 49: [454413] КАИР | 15д | 2893 км | 17935р | R592
16.05 20:14:04> 50: [472118] КАРЛОВЫ ВАРЫ | 21д | 1755 км | 23817р | R591
16.05 20:14:04> 51: [466248] МЕХИКО | 20д | 10723 км | 34752р | R590
16.05 20:14:04> 52: [448753] МАРСЕЛЬ | 3д | 2673 км | 13605р | R588
16.05 20:14:04> 53: [451131] САНТЬЯГО | 14д | 14125 км | 51580р | R588
16.05 20:14:04> 54: [454819] MUSCAT | 3д | 3957 км | 20775р | R587
16.05 20:14:04> 55: [455162] STAVANGER | 5д | 1926 км | 14270р | R582
16.05 20:14:04> 56: [472323] ДРЕЗДЕН | 13д | 1651 км | 10810р | R575
16.05 20:14:04> 57: [455020] CATANIA | 7д | 2641 км | 13117р | R568
16.05 20:14:04> 58: [471673] АНТАЛЬЯ | 11д | 2159 км | 11106р | R563
16.05 20:14:04> 59: [454472] АММАН | 13д | 2676 км | 23836р | R559
16.05 20:14:04> 60: [474429] АЛМАТЫ | 6д | 3105 км | 10306р | R555
16.05 20:14:04> 61: [467872] БУДАПЕШТ | 5д | 1569 км | 7326р | R551
16.05 20:14:04> 62: [447531] ПЕКИН | 7д | 5795 км | 18487р | R550
16.05 20:14:04> 63: [466210] БОЛОНЬЯ | 4д | 2232 км | 12487р | R550
16.05 20:14:04> 64: [453181] ВЕРОНА | 10д | 2182 км | 10966р | R547
16.05 20:14:04> 65: [447923] ГОНКОНГ | 10д | 7151 км | 25035р | R543
16.05 20:14:04> 66: [450706] СЕУЛ | 7д | 6607 км | 22496р | R542
16.05 20:14:04> 67: [451280] НЬЮ-ДЕЛИ | 15д | 4343 км | 17602р | R538
16.05 20:14:04> 68: [454721] DAKAR | 14д | 6512 км | 35369р | R530
16.05 20:14:04> 69: [454726] HAVANA | 14д | 9603 км | 31808р | R528
16.05 20:14:04> 70: [449548] СПЛИТ | 38д | 2035 км | 16844р | R526
16.05 20:14:04> 71: [448777] МОНРЕАЛЬ | 11д | 7055 км | 28340р | R524
